adj_em_diff,adj_o_edge_a,adj_o_edge_b,tempo_diff,seed_diff,sos_diff,luck_diff,off_efg_diff,def_efg_diff,off_to_diff,off_orb_diff,fg3_pct_diff,ft_pct_diff,experience_diff,avg_hgt_diff,bench_diff,continuity_diff,stl_rate_diff,block_pct_diff,ast_rate_diff,team_a_won,season
-4.4335,14.539100000000005,11.036000000000001,0.2914999999999992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2014
-0.38620000000000054,16.525499999999994,9.352999999999994,3.3984000000000023,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2014
-17.3297,3.1976999999999975,10.070000000000007,1.3004999999999995,-7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2014
-17.0811,11.059299999999993,2.284000000000006,-2.5863999999999976,-7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2014
-21.4077,5.019499999999994,0.7930000000000064,-0.5611000000000033,-7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2014
-6.7974,15.741799999999998,1.6430000000000007,1.8442000000000007,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2014
-7.009399999999999,10.064999999999998,5.125,1.2839000000000027,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2014
-1.6090999999999998,22.045599999999993,3.335000000000008,6.077400000000004,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2014
-7.7810999999999995,9.42070000000001,10.305999999999997,-5.4029000000000025,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2014
4.484299999999999,9.578999999999994,17.38990000000001,2.086100000000002,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2014
